MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
AMSDKL --> MMM | 5.ASD | ASDASMD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
COMPO --> WORLD | 1.DATKMAKSDLALSKDALS | MKAKSMDKA JA
MOSQUITO --> COMPO | 2.MOSQUITO_TO_COMPO_SMTTTT | Y
MAC --> WORLD | 3.SOMETHING | ASMDKASD
COMPO --> LOLX | 4.ASLDMASD | ASDAD
AMSDKL --> MMM | 5.ASD | ASDASMD
